time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1774071701524,download,100000,417.5,1905938.242280285,421,-1,100300,
1774071711556,download,100000,599.7999997138977,815778.771937575,983.5999999046326,-1,100300,388.30000019073486
1774071712173,download,100000,411.5,1326061.8081746208,605.0999999046326,-1,100300,394.5
1774071712792,download,100000,414.1000003814697,1320605.66079037,607.6000003814697,-1,100300,395
1774071713405,download,100000,407.19999980926514,1335552.5971739425,600.7999997138977,-1,100300,394.59999990463257
1774071714020,download,100000,408.19999980926514,1334664.0057461194,601.1999998092651,-1,100300,403.80000019073486 412.40000009536743
1774071714634,download,100000,407.09999990463257,1337110.4817988947,600.0999999046326,-1,100300,405.09999990463257
1774071715246,download,100000,406.5,1337333.3333333335,600,-1,100300,393.5
1774071715920,download,100000,469.69999980926514,1212817.4125085599,661.5999999046326,-1,100300,404.30000019073486
1774071716530,download,100000,406.09999990463257,1340685.045948204,598.5,-1,100300,405.7000002861023
1774071717545,download,1000000,412.30000019073486,7995204.3153537,1000.9000000953674,-1,1000300,414 392.90000009536743
1774071718170,download,1000000,408,13086508.585445624,611.5,-1,1000300,383.30000019073486
1774071718788,download,1000000,407,13203101.80046056,606.0999999046326,-1,1000300,403.1000003814697
1774071719410,download,1000000,413.7000002861023,13116538.264213141,610.1000003814697,-1,1000300,395.09999990463257
1774071720025,download,1000000,407.6000003814697,13268777.972041722,603.1000003814697,-1,1000300,397.5
1774071720664,download,1000000,419.59999990463257,13033224.755700326,614,-1,1000300,403.30000019073486 460.09999990463257
1774071721286,download,1000000,412.2000002861023,13216184.971098265,605.5,-1,1000300,405.09999990463257
1774071721902,download,1000000,409.5,13242429.263261111,604.2999997138977,-1,1000300,395.5
1774071722110,upload,100000,196,3902912.621359223,206,-1,372,
1774071722390,upload,100000,202.5,3783529.4117647056,212.5,-1,370,
1774071722595,upload,100000,192.90000009536743,3962543.1228294843,202.90000009536743,-1,369,408.3999996185303
1774071722804,upload,100000,194.5,3931540.3422982884,204.5,-1,369,
1774071723187,upload,100000,196.89999961853027,3885935.241577412,206.89999961853027,-1,370,
1774071723586,upload,100000,385,2035443.037974683,395,-1,369,406.40000009536743
1774071723797,upload,100000,198.80000019073486,3850574.7091262504,208.80000019073486,-1,371,394.09999990463257
1774071724010,upload,100000,199.5,3837708.830548926,209.5,-1,368,
1774071725053,upload,1000000,600.5,13169533.169533167,610.5,-1,370,433.69999980926514
1774071726844,upload,1000000,1773.8000001907349,4507231.751956672,1783.8000001907349,-1,369,391.59999990463257 399.90000009536743 406.40000009536743
1774071727507,upload,1000000,645.8999996185303,12257966.16050624,655.8999996185303,-1,372,400.5
1774071729501,upload,1000000,1977.0999999046326,4046097.3279582635,1987.0999999046326,-1,371,389.30000019073486 456.30000019073486 450.1000003814697
1774071730311,upload,1000000,794.3000001907349,9996270.046118813,804.3000001907349,-1,369,465.09999990463257 447.5
1774071731301,upload,1000000,973.1000003814697,8178211.775892848,983.1000003814697,-1,372,521.1000003814697 395.90000009536743
1774071733714,download,10000000,407.40000009536743,33398346.830097225,2395.4000000953674,-1,10000300,447.7999997138977 455.2000002861023 448.09999990463257 448
1774071734783,download,10000000,410.6000003814697,76200019.04251167,1049.9000000953674,-1,10000300,440.30000019073486 452.19999980926514
1774071735859,download,10000000,419.2999997138977,75752674.94292618,1056.0999999046326,-1,10000300,457.59999990463257 395.09999990463257
1774071736956,download,10000000,412.7999997138977,74186201.77385482,1078.4000000953674,-1,10000300,395.30000019073486
1774071737883,download,10000000,406.09999990463257,88001759.99163184,909.0999999046326,-1,10000300,408.2999997138977 406.5
1774071738954,download,10000000,406.7999997138977,76149248.05564645,1050.5999999046326,-1,10000300,433.19999980926514 405.80000019073486
1774071747466,upload,10000000,8471.900000095367,9479008.240971481,8481.900000095367,-1,371,415.09999990463257 416.7999997138977 406 399.7000002861023 409.80000019073486 399.40000009536743 409.59999990463257 401.09999990463257 397.69999980926514 407.90000009536743 412.5 408.59999990463257 399.6000003814697 413.40000009536743 396.7000002861023 403.09999990463257
1774071755609,upload,10000000,8098,9916132.215096198,8108,-1,371,404.19999980926514 397.19999980926514 448.6000003814697 403.2000002861023 408.30000019073486 426.19999980926514 406.90000009536743 402.80000019073486 404.3999996185303 399.09999990463257 412.7000002861023 396.7000002861023 406.7999997138977 404.59999990463257 395.7000002861023
1774071764874,upload,10000000,8837.400000095367,9087415.511803845,8847.400000095367,-1,369,403.69999980926514 454 394 398.30000019073486 393.40000009536743 399.59999990463257 393.69999980926514 400.2999997138977 403.09999990463257 396.6000003814697 393.2999997138977 398.40000009536743 392.6000003814697 394.5 391.6000003814697 390.5 400.1000003814697
1774071773960,upload,10000000,9044.699999809265,8879366.517023599,9054.699999809265,-1,370,393.80000019073486 402 398.90000009536743 403.2000002861023 394.09999990463257 404 391.40000009536743 391.69999980926514 394.2000002861023 397.5 396 400.69999980926514 394.8999996185303 408.40000009536743 392.7999997138977 400.7999997138977 399
1774071777017,download,25000000,413.19999980926514,65970379.65912948,3031.699999809265,-1,25000300,390.80000019073486 398.59999990463257 396.40000009536743 457.09999990463257
1774071778929,download,25000000,426.09999990463257,105961536.42384106,1887.5,-1,25000300,403.90000009536743 392.19999980926514 397.5
1774071780698,download,25000000,417.5,114503005.68033418,1746.6999998092651,-1,25000300,397.5 395 395.2999997138977 415
1774071782491,download,25000000,407.90000009536743,113431488.21553728,1763.1999998092651,-1,25000300,400 408.2999997138977
